timestamp;channel1;channel2;channel3;channel4;channel5;channel6;period1;
2120;53.6;48.8;-4.3;50.2;52.1;-10.0;7005;
2140;54.0;48.9;-4.6;50.0;51.9;-10.0;7005;
2160;53.7;48.7;-4.6;49.7;52.5;-10.0;7000;
2180;52.9;48.2;-4.4;50.0;51.8;-10.0;6996;
2200;53.5;48.8;-5.3;50.0;51.8;-10.0;7005;
2220;53.7;48.8;-4.4;50.1;51.7;-10.0;7004;
2240;53.7;48.9;-4.3;50.2;51.9;-10.0;7000;
2260;53.6;47.9;-5.6;49.4;52.4;-10.0;6998;
2280;54.0;48.9;-4.6;50.0;51.9;-10.0;7000;
2300;53.9;48.4;-4.6;49.7;52.6;-10.0;7000;
2320;54.2;48.4;-4.7;50.1;52.0;-10.0;7006;
2340;53.2;48.4;-5.6;50.3;52.2;-10.0;6998;
2360;53.7;48.8;-4.4;50.1;51.7;-10.0;6999;
2380;53.6;48.8;-4.7;50.2;51.9;-10.0;7006;
2400;53.9;48.8;-4.5;50.5;51.4;-10.0;6999;
2420;54.0;48.8;-4.6;50.2;51.2;-10.0;7001;
2440;53.7;48.7;-4.5;50.1;51.8;-10.0;7000;
2460;54.2;48.2;-4.9;50.2;51.9;-10.0;7005;
2580;53.2;48.3;-4.6;50.3;52.2;-10.0;7002;
2600;53.6;48.0;-4.5;50.2;52.1;-10.0;7003;
2620;53.3;48.6;-5.5;50.0;51.8;-10.0;6994;
2640;53.5;48.8;-5.3;50.0;51.7;-10.0;6996;
2660;53.2;48.4;-5.6;50.2;51.9;-10.0;7000;
2680;53.6;49.0;-4.4;50.3;52.3;-10.0;7003;
2700;53.1;47.9;-5.4;49.9;51.7;-10.0;6995;
2720;53.1;48.5;-5.5;50.2;52.1;-10.0;7001;
2740;53.0;48.3;-4.4;50.0;51.8;-10.0;6997;
2760;53.3;48.6;-5.5;50.0;51.9;-10.0;6993;
2780;53.2;48.1;-4.5;50.0;52.7;-10.0;6997;
2800;53.3;48.6;-5.5;50.1;51.7;-10.0;7002;
2820;53.3;48.6;-4.7;50.1;52.0;-10.0;6999;
2840;53.1;47.9;-4.5;50.1;52.1;-10.0;6996;
2860;54.0;48.3;-4.6;50.0;51.9;-10.0;7006;
2880;53.8;48.1;-5.4;49.7;52.6;-10.0;6999;
2900;53.6;48.8;-4.7;50.2;52.1;-10.0;7005;
2920;53.6;48.0;-4.3;50.3;51.9;-10.0;6998;
2940;53.6;48.8;-4.7;50.0;51.7;-10.0;7005;
2960;53.3;47.8;-5.5;49.9;51.8;-10.0;6993;
2980;53.0;48.9;-4.5;50.5;51.4;-10.0;6992;
3000;53.6;48.0;-5.5;50.2;52.1;-10.0;7001;
3020;53.9;48.0;-5.0;50.3;52.1;-10.0;7005;
3040;53.7;48.9;-4.3;50.3;51.2;-10.0;7004;
3060;54.1;48.1;-4.5;50.2;51.9;-10.0;7001;
3080;53.3;48.5;-5.5;50.3;51.9;-10.0;7006;
3100;52.7;47.9;-4.2;50.2;52.2;-10.0;6997;
3120;54.0;48.9;-4.6;50.1;52.0;-10.0;7004;
3140;53.7;48.2;-4.6;50.0;51.9;-10.0;6998;
3160;53.5;48.6;-4.0;50.2;52.1;-10.0;6995;
3180;52.8;49.1;-4.5;50.3;52.2;-10.0;6996;
3200;53.4;48.3;-4.3;50.0;51.7;-10.0;7002;
3220;53.7;48.9;-4.3;50.0;52.6;-10.0;7007;
3240;53.6;47.8;-5.5;49.9;51.9;-10.0;6998;
3260;53.1;47.9;-5.4;50.2;52.1;-10.0;6994;
3280;54.3;48.8;-4.6;50.3;52.1;-10.0;7002;
3300;53.5;48.6;-4.0;50.3;52.1;-10.0;6995;
3320;53.5;47.9;-4.4;50.2;51.2;-10.0;6995;
3340;52.8;48.0;-4.4;50.2;51.9;-10.0;6999;
3360;53.3;48.6;-5.5;50.3;51.9;-10.0;6997;
3380;53.4;48.6;-4.5;50.1;52.0;-10.0;7000;
